fecha_iv,tc_iv
1994-07-29,3.3985
1994-08-01,3.3975
1994-08-02,3.3875
1994-08-03,3.3785
1994-08-04,3.3788
1994-08-05,3.3835
1994-08-08,3.3875
1994-08-09,3.3870
1994-08-10,3.3943
1994-08-11,3.3973
1994-08-12,3.3983
1994-08-15,3.4030
1994-08-16,3.4063
1994-08-17,3.3935
1994-08-18,3.3790
1994-08-19,3.3683
1994-08-22,3.3345
1994-08-23,3.3390
1994-08-24,3.3440
1994-08-25,3.3595
1994-08-26,3.3748
1994-08-29,3.3793
1994-08-30,3.3855
1994-08-31,3.3925
1994-09-01,3.3865
1994-09-02,3.3833
1994-09-05,3.3845
1994-09-06,3.3948
1994-09-07,3.3983
1994-09-08,3.4015
1994-09-09,3.4040
1994-09-12,3.4055
1994-09-13,3.4115
1994-09-14,3.4115
1994-09-15,3.4045
1994-09-19,3.4023
1994-09-20,3.4038
1994-09-21,3.4005
1994-09-22,3.4045
1994-09-23,3.3975
1994-09-26,3.3655
1994-09-27,3.3845
1994-09-28,3.3935
1994-09-29,3.4005
1994-09-30,3.3970
1994-10-03,3.4013
1994-10-04,3.4085
1994-10-05,3.4135
1994-10-06,3.4160
1994-10-07,3.4150
1994-10-10,3.4133
1994-10-11,3.4160
1994-10-12,3.4173
1994-10-13,3.4168
1994-10-14,3.4160
1994-10-17,3.4183
1994-10-18,3.4210
1994-10-19,3.4160
1994-10-20,3.4145
1994-10-21,3.4153
1994-10-24,3.4168
1994-10-25,3.4235
1994-10-26,3.4285
1994-10-27,3.4288
1994-10-28,3.4305
1994-10-31,3.4363
1994-11-03,3.4355
1994-11-04,3.4303
1994-11-07,3.4260
1994-11-08,3.4250
1994-11-09,3.4290
1994-11-10,3.4375
1994-11-11,3.4415
1994-11-14,3.4461
1994-11-15,3.4503
1994-11-16,3.4510
1994-11-17,3.4512
1994-11-18,3.4516
1994-11-21,3.4525
1994-11-22,3.4405
1994-11-23,3.4435
1994-11-24,3.4455
1994-11-25,3.4465
1994-11-28,3.4475
1994-11-29,3.4425
1994-11-30,3.4393
1994-12-02,3.4400
1994-12-05,3.4410
1994-12-06,3.4448
1994-12-07,3.4480
1994-12-08,3.4488
1994-12-09,3.4498
1994-12-13,3.4530
1994-12-14,3.4568
1994-12-15,3.4598
1994-12-16,3.4633
1994-12-19,3.4641
1994-12-20,3.7266
1994-12-21,3.9785
1994-12-22,4.4385
1994-12-23,4.8500
1994-12-26,4.9750
1994-12-27,5.3000
1994-12-28,5.2500
1994-12-29,4.9250
1994-12-30,4.9500
1995-01-02,4.9500
1995-01-03,5.0750
1995-01-04,5.4000
1995-01-05,5.3500
1995-01-06,5.5750
1995-01-09,5.5750
1995-01-10,5.5750
1995-01-11,5.6250
1995-01-12,5.4600
1995-01-13,5.3350
1995-01-16,5.3400
1995-01-17,5.3400
1995-01-18,5.3400
1995-01-19,5.4550
1995-01-20,5.5450
1995-01-23,5.6400
1995-01-24,5.7250
1995-01-25,5.7150
1995-01-26,5.6100
1995-01-27,5.6400
1995-01-30,6.0300
1995-01-31,6.0200
1995-02-01,5.5400
1995-02-02,5.4100
1995-02-03,5.3625
1995-02-06,5.2975
1995-02-07,5.3250
1995-02-08,5.3800
1995-02-09,5.4925
1995-02-10,5.5325
1995-02-13,5.5900
1995-02-14,5.7600
1995-02-15,5.8950
1995-02-16,6.0200
1995-02-17,5.9000
1995-02-20,5.6500
1995-02-21,5.5800
1995-02-22,5.7200
1995-02-23,5.7650
1995-02-24,5.7650
1995-02-27,5.9200
1995-02-28,5.9550
1995-03-01,5.9300
1995-03-02,5.9850
1995-03-03,6.1550
1995-03-06,6.4250
1995-03-07,6.6700
1995-03-08,6.8900
1995-03-09,7.2600
1995-03-10,6.8250
1995-03-13,6.4100
1995-03-14,6.5700
1995-03-15,6.8050
1995-03-16,7.0400
1995-03-17,7.0250
1995-03-20,7.0000
1995-03-22,7.0650
1995-03-23,7.0150
1995-03-24,6.8550
1995-03-27,6.7700
1995-03-28,6.7650
1995-03-29,6.8000
1995-03-30,6.7400
1995-03-31,6.7250
1995-04-03,6.7775
1995-04-04,6.6350
1995-04-05,6.4800
1995-04-06,6.4050
1995-04-07,6.3375
1995-04-10,6.2850
1995-04-11,6.2500
1995-04-12,6.2600
1995-04-17,6.2700
1995-04-18,6.1925
1995-04-19,6.1200
1995-04-20,6.0450
1995-04-21,6.0350
1995-04-24,5.9450
1995-04-25,5.8650
1995-04-26,5.8200
1995-04-27,5.8475
1995-04-28,5.9050
1995-05-02,5.8700
1995-05-03,5.8150
1995-05-04,5.8300
1995-05-08,5.8175
1995-05-09,5.8500
1995-05-10,5.8850
1995-05-11,5.9025
1995-05-12,5.9200
1995-05-15,5.9325
1995-05-16,5.9350
