fecha_in,tc_in,fecha_bx,tc_bx
18/12/1992,3.1200,18/12/1992,3.1205
21/12/1992,3.1200,21/12/1992,3.1179
22/12/1992,3.1200,22/12/1992,3.1245
23/12/1992,3.1200,23/12/1992,3.1195
24/12/1992,3.1150,24/12/1992,3.1134
28/12/1992,3.1150,28/12/1992,3.1154
29/12/1992,3.1200,29/12/1992,3.1230
30/12/1992,3.1200,30/12/1992,3.1209
04/01/1993,3.1200,04/01/1993,3.1170
05/01/1993,3.1150,05/01/1993,3.1180
06/01/1993,3.1100,06/01/1993,3.1124
07/01/1993,3.1100,07/01/1993,3.1063
08/01/1993,3.1050,08/01/1993,3.1108
11/01/1993,3.1050,11/01/1993,3.1169
12/01/1993,3.1100,12/01/1993,3.1096
13/01/1993,3.1150,13/01/1993,3.1130
14/01/1993,3.1100,14/01/1993,3.1130
15/01/1993,3.1100,15/01/1993,3.1103
18/01/1993,3.1100,18/01/1993,3.1095
19/01/1993,3.1085,19/01/1993,3.1082
20/01/1993,3.1000,20/01/1993,3.1051
21/01/1993,3.1000,21/01/1993,3.1051
22/01/1993,3.1000,22/01/1993,3.1044
25/01/1993,3.1000,25/01/1993,3.1044
26/01/1993,3.1010,26/01/1993,3.0989
27/01/1993,3.1100,27/01/1993,3.0939
28/01/1993,3.1050,28/01/1993,3.1030
29/01/1993,3.1150,29/01/1993,3.1140
01/02/1993,3.1050,01/02/1993,3.1019
02/02/1993,3.1000,02/02/1993,3.0999
03/02/1993,3.1250,03/02/1993,3.1017
04/02/1993,3.1000,04/02/1993,3.1012
08/02/1993,3.1000,08/02/1993,3.0981
09/02/1993,3.1000,09/02/1993,3.0977
10/02/1993,3.0950,10/02/1993,3.0975
11/02/1993,3.1000,11/02/1993,3.1009
12/02/1993,3.1000,12/02/1993,3.0967
15/02/1993,3.1000,15/02/1993,3.1000
16/02/1993,3.1000,16/02/1993,3.0977
17/02/1993,3.1000,17/02/1993,3.0986
18/02/1993,3.0900,18/02/1993,3.0943
19/02/1993,3.0900,19/02/1993,3.0950
22/02/1993,3.0900,22/02/1993,3.0940
23/02/1993,3.0900,23/02/1993,3.0939
24/02/1993,3.0900,24/02/1993,3.0938
25/02/1993,3.0950,25/02/1993,3.0974
26/02/1993,3.1000,26/02/1993,3.0987
01/03/1993,3.0950,01/03/1993,3.0939
02/03/1993,3.0900,02/03/1993,3.0939
03/03/1993,3.0900,03/03/1993,3.0948
04/03/1993,3.0950,04/03/1993,3.0961
05/03/1993,3.1250,05/03/1993,3.1010
08/03/1993,3.1000,08/03/1993,3.1021
09/03/1993,3.1350,09/03/1993,3.1130
10/03/1993,3.1200,10/03/1993,3.1174
11/03/1993,3.1200,11/03/1993,3.1197
12/03/1993,3.1200,12/03/1993,3.1196
15/03/1993,3.1200,15/03/1993,3.1182
16/03/1993,3.1200,16/03/1993,3.1200
17/03/1993,3.1200,17/03/1993,3.1190
18/03/1993,3.1200,18/03/1993,3.1169
19/03/1993,3.1150,19/03/1993,3.1124
22/03/1993,3.1150,22/03/1993,3.1172
23/03/1993,3.1150,23/03/1993,3.1149
24/03/1993,3.1100,24/03/1993,3.1119
25/03/1993,3.1100,25/03/1993,3.1114
26/03/1993,3.1050,26/03/1993,3.1049
29/03/1993,3.1000,29/03/1993,3.0976
