id,Port Name,State,Port Code,Border,Date,Measure,Value
10804,Eagle Pass,Texas,2303,US-Mexico Border,2019/01/02,Truck Containers Full,12069
10805,Massena,New York,704,US-Canada Border,2019/01/02,Trucks,1987
10806,Blaine,Washington,3004,US-Canada Border,2019/01/02,Trucks,26617
10807,Laredo,Texas,2304,US-Mexico Border,2019/01/02,Personal Vehicle Passengers,750265
10808,Houlton,Maine,106,US-Canada Border,2019/01/02,Bus Passengers,685
10809,Noonan,North Dakota,3420,US-Canada Border,2019/01/02,Personal Vehicle Passengers,2472
10810,Antler,North Dakota,3413,US-Canada Border,2019/01/02,Trucks,89
10811,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2019/01/02,Rail Containers Empty,138
10812,International Falls-Ranier,Minnesota,3604,US-Canada Border,2019/01/02,Trucks,1502
10813,Roosville,Montana,3318,US-Canada Border,2019/01/02,Trucks,672
10814,Norton,Vermont,211,US-Canada Border,2019/01/02,Rail Containers Full,686
10815,Oroville,Washington,3019,US-Canada Border,2019/01/02,Bus Passengers,461
10816,Hansboro,North Dakota,3415,US-Canada Border,2019/01/02,Bus Passengers,45
10817,Scobey,Montana,3309,US-Canada Border,2019/01/02,Trucks,46
10818,Laredo,Texas,2304,US-Mexico Border,2019/01/02,Rail Containers Full,20892
10819,Sweetgrass,Montana,3310,US-Canada Border,2019/01/02,Bus Passengers,509
10820,Sumas,Washington,3009,US-Canada Border,2019/01/02,Truck Containers Full,8613
10821,Trout River,New York,715,US-Canada Border,2019/01/02,Personal Vehicles,6876
10822,Boundary,Washington,3015,US-Canada Border,2019/01/02,Truck Containers Empty,17
10823,Progreso,Texas,2309,US-Mexico Border,2019/01/02,Trucks,4390
10824,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2019/01/02,Truck Containers Empty,1246
10825,Fortuna,North Dakota,3417,US-Canada Border,2019/01/02,Trucks,227
10826,Sumas,Washington,3009,US-Canada Border,2019/01/02,Truck Containers Empty,2491
10827,Boundary,Washington,3015,US-Canada Border,2019/01/02,Personal Vehicle Passengers,2893
10828,Roma,Texas,2310,US-Mexico Border,2019/01/02,Trucks,871
10829,Trout River,New York,715,US-Canada Border,2019/01/02,Trains,51
10830,Sarles,North Dakota,3409,US-Canada Border,2019/01/02,Truck Containers Full,86
10831,Eastport,Maine,103,US-Canada Border,2019/01/02,Truck Containers Full,111
10832,Hansboro,North Dakota,3415,US-Canada Border,2019/01/02,Truck Containers Empty,8
10833,Sumas,Washington,3009,US-Canada Border,2019/01/02,Personal Vehicles,52878
10834,Vanceboro,Maine,105,US-Canada Border,2019/01/02,Trucks,22
10835,Lynden,Washington,3023,US-Canada Border,2019/01/02,Bus Passengers,47
10836,Sasabe,Arizona,2606,US-Mexico Border,2019/01/02,Personal Vehicles,1690
10837,Turner,Montana,3306,US-Canada Border,2019/01/02,Buses,1
10838,Presidio,Texas,2403,US-Mexico Border,2019/01/02,Pedestrians,15272
10839,Massena,New York,704,US-Canada Border,2019/01/02,Truck Containers Empty,614
10840,Santa Teresa,New Mexico,2408,US-Mexico Border,2019/01/02,Pedestrians,7443
10841,Vanceboro,Maine,105,US-Canada Border,2019/01/02,Truck Containers Full,1
