id,Port Name,State,Port Code,Border,Date,Measure,Value
1,Trout River,New York,715,US-Canada Border,2018/01/01,Truck Containers Full,571
2,Portal,North Dakota,3403,US-Canada Border,2018/01/01,Rail Containers Empty,7484
3,Roseau,Minnesota,3426,US-Canada Border,2018/01/01,Trucks,285
4,Norton,Vermont,211,US-Canada Border,2018/01/01,Trucks,921
5,Oroville,Washington,3019,US-Canada Border,2018/01/01,Pedestrians,29
6,Lynden,Washington,3023,US-Canada Border,2018/01/01,Truck Containers Full,430
7,International Falls-Ranier,Minnesota,3604,US-Canada Border,2018/01/01,Personal Vehicle Passengers,40803
8,International Falls-Ranier,Minnesota,3604,US-Canada Border,2018/01/01,Train Passengers,626
9,Algonac,Michigan,3814,US-Canada Border,2018/01/01,Personal Vehicles,89
10,Westhope,North Dakota,3419,US-Canada Border,2018/01/01,Truck Containers Empty,198
11,Sault Sainte Marie,Michigan,3803,US-Canada Border,2018/01/01,Personal Vehicles,47026
12,Vanceboro,Maine,105,US-Canada Border,2018/01/01,Pedestrians,6
13,Fortuna,North Dakota,3417,US-Canada Border,2018/01/01,Trucks,244
14,Pembina,North Dakota,3401,US-Canada Border,2018/01/01,Trains,86
15,Sault Sainte Marie,Michigan,3803,US-Canada Border,2018/01/01,Trucks,3492
16,Porthill,Idaho,3308,US-Canada Border,2018/01/01,Personal Vehicle Passengers,14725
17,Warroad,Minnesota,3423,US-Canada Border,2018/01/01,Trucks,735
18,Limestone,Maine,118,US-Canada Border,2018/01/01,Personal Vehicle Passengers,1609
19,Roseau,Minnesota,3426,US-Canada Border,2018/01/01,Personal Vehicles,2896
20,Lancaster,Minnesota,3430,US-Canada Border,2018/01/01,Trucks,369
21,Champlain-Rouses Point,New York,712,US-Canada Border,2018/01/01,Personal Vehicle Passengers,118997
22,Massena,New York,704,US-Canada Border,2018/01/01,Bus Passengers,2611
23,Roma,Texas,2310,US-Mexico Border,2018/01/01,Truck Containers Full,50
24,Wildhorse,Montana,3323,US-Canada Border,2018/01/01,Personal Vehicle Passengers,1113
25,Ferry,Washington,3013,US-Canada Border,2018/01/01,Truck Containers Empty,5
26,Friday Harbor,Washington,3014,US-Canada Border,2018/01/01,Personal Vehicles,67
27,Carbury,North Dakota,3421,US-Canada Border,2018/01/01,Personal Vehicle Passengers,2404
28,Douglas,Arizona,2601,US-Mexico Border,2018/01/01,Pedestrians,80456
29,Derby Line,Vermont,209,US-Canada Border,2018/01/01,Buses,77
30,Richford,Vermont,203,US-Canada Border,2018/01/01,Personal Vehicles,6164
31,San Ysidro,California,2504,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,2065547
32,Sweetgrass,Montana,3310,US-Canada Border,2018/01/01,Truck Containers Empty,1827
33,Laurier,Washington,3016,US-Canada Border,2018/01/01,Rail Containers Empty,40
34,Port Huron,Michigan,3802,US-Canada Border,2018/01/01,Trains,253
35,Laredo,Texas,2304,US-Mexico Border,2018/01/01,Buses,3127
36,Roosville,Montana,3318,US-Canada Border,2018/01/01,Truck Containers Full,432
37,Calexico East,California,2507,US-Mexico Border,2018/01/01,Truck Containers Empty,14278
38,Opheim,Montana,3317,US-Canada Border,2018/01/01,Trucks,13
39,Laurier,Washington,3016,US-Canada Border,2018/01/01,Trucks,663
40,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2018/01/01,Trains,25
41,Portal,North Dakota,3403,US-Canada Border,2018/01/01,Trains,163
42,Roma,Texas,2310,US-Mexico Border,2018/01/01,Truck Containers Empty,560
43,Houlton,Maine,106,US-Canada Border,2018/01/01,Trucks,7644
44,Boundary,Washington,3015,US-Canada Border,2018/01/01,Bus Passengers,24
45,Sumas,Washington,3009,US-Canada Border,2018/01/01,Truck Containers Full,9522
46,Fortuna,North Dakota,3417,US-Canada Border,2018/01/01,Personal Vehicles,653
47,Lynden,Washington,3023,US-Canada Border,2018/01/01,Truck Containers Empty,2953
48,Calexico East,California,2507,US-Mexico Border,2018/01/01,Truck Containers Full,18764
49,Eagle Pass,Texas,2303,US-Mexico Border,2018/01/01,Trucks,14977
50,Vanceboro,Maine,105,US-Canada Border,2018/01/01,Truck Containers Empty,50
51,Buffalo-Niagara Falls,New York,901,US-Canada Border,2018/01/01,Trains,173
52,Detroit,Michigan,3801,US-Canada Border,2018/01/01,Trains,156
53,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2018/01/01,Personal Vehicle Passengers,50484
54,Turner,Montana,3306,US-Canada Border,2018/01/01,Pedestrians,2
55,Norton,Vermont,211,US-Canada Border,2018/01/01,Personal Vehicle Passengers,1831
56,Houlton,Maine,106,US-Canada Border,2018/01/01,Bus Passengers,334
57,Presidio,Texas,2403,US-Mexico Border,2018/01/01,Truck Containers Empty,377
58,San Luis,Arizona,2608,US-Mexico Border,2018/01/01,Buses,18
59,Madawaska,Maine,109,US-Canada Border,2018/01/01,Truck Containers Full,34
60,Calexico,California,2503,US-Mexico Border,2018/01/01,Personal Vehicles,381277
61,Blaine,Washington,3004,US-Canada Border,2018/01/01,Trains,244
62,Otay Mesa,California,2506,US-Mexico Border,2018/01/01,Trucks,74569
63,Brownsville,Texas,2301,US-Mexico Border,2018/01/01,Rail Containers Full,1057
64,Sarles,North Dakota,3409,US-Canada Border,2018/01/01,Truck Containers Full,148
65,Trout River,New York,715,US-Canada Border,2018/01/01,Personal Vehicles,7680
66,Massena,New York,704,US-Canada Border,2018/01/01,Truck Containers Empty,592
67,Presidio,Texas,2403,US-Mexico Border,2018/01/01,Bus Passengers,106
68,Norton,Vermont,211,US-Canada Border,2018/01/01,Personal Vehicles,1422
69,Neche,North Dakota,3404,US-Canada Border,2018/01/01,Personal Vehicles,2368
70,Boundary,Washington,3015,US-Canada Border,2018/01/01,Personal Vehicles,2105
71,Nighthawk,Washington,3011,US-Canada Border,2018/01/01,Personal Vehicle Passengers,310
72,Skagway,Alaska,3103,US-Canada Border,2018/01/01,Trucks,221
73,Jackman,Maine,104,US-Canada Border,2018/01/01,Truck Containers Empty,5215
74,Lancaster,Minnesota,3430,US-Canada Border,2018/01/01,Bus Passengers,177
75,Limestone,Maine,118,US-Canada Border,2018/01/01,Truck Containers Empty,51
76,Laredo,Texas,2304,US-Mexico Border,2018/01/01,Trucks,184060
77,Lukeville,Arizona,2602,US-Mexico Border,2018/01/01,Bus Passengers,216
78,Turner,Montana,3306,US-Canada Border,2018/01/01,Trucks,30
79,Rio Grande City,Texas,2307,US-Mexico Border,2018/01/01,Personal Vehicles,32720
80,Blaine,Washington,3004,US-Canada Border,2018/01/01,Bus Passengers,13579
81,Ogdensburg,New York,701,US-Canada Border,2018/01/01,Bus Passengers,227
82,Columbus,New Mexico,2406,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,59743
83,Sault Sainte Marie,Michigan,3803,US-Canada Border,2018/01/01,Buses,49
84,Santa Teresa,New Mexico,2408,US-Mexico Border,2018/01/01,Bus Passengers,81
85,Detroit,Michigan,3801,US-Canada Border,2018/01/01,Truck Containers Empty,44923
86,Tecate,California,2505,US-Mexico Border,2018/01/01,Truck Containers Empty,2086
87,Turner,Montana,3306,US-Canada Border,2018/01/01,Personal Vehicle Passengers,1320
88,Sarles,North Dakota,3409,US-Canada Border,2018/01/01,Personal Vehicles,203
89,Grand Portage,Minnesota,3613,US-Canada Border,2018/01/01,Personal Vehicles,11671
90,Jackman,Maine,104,US-Canada Border,2018/01/01,Train Passengers,41
91,Roosville,Montana,3318,US-Canada Border,2018/01/01,Personal Vehicles,7206
92,Porthill,Idaho,3308,US-Canada Border,2018/01/01,Truck Containers Empty,368
93,Calexico East,California,2507,US-Mexico Border,2018/01/01,Train Passengers,21
94,Calexico East,California,2507,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,564709
95,Eagle Pass,Texas,2303,US-Mexico Border,2018/01/01,Trains,266
96,Neche,North Dakota,3404,US-Canada Border,2018/01/01,Truck Containers Full,94
97,Trout River,New York,715,US-Canada Border,2018/01/01,Trains,52
98,Port Huron,Michigan,3802,US-Canada Border,2018/01/01,Buses,160
99,Hansboro,North Dakota,3415,US-Canada Border,2018/01/01,Buses,1
100,Champlain-Rouses Point,New York,712,US-Canada Border,2018/01/01,Personal Vehicles,55956
101,Calexico East,California,2507,US-Mexico Border,2018/01/01,Rail Containers Empty,532
102,Sasabe,Arizona,2606,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,4154
103,Fort Fairfield,Maine,107,US-Canada Border,2018/01/01,Personal Vehicles,6382
104,Detroit,Michigan,3801,US-Canada Border,2018/01/01,Train Passengers,468
105,Morgan,Montana,3319,US-Canada Border,2018/01/01,Bus Passengers,39
106,Derby Line,Vermont,209,US-Canada Border,2018/01/01,Bus Passengers,2371
107,Alexandria Bay,New York,708,US-Canada Border,2018/01/01,Personal Vehicle Passengers,61274
108,Eagle Pass,Texas,2303,US-Mexico Border,2018/01/01,Rail Containers Empty,14909
109,Vanceboro,Maine,105,US-Canada Border,2018/01/01,Rail Containers Full,778
110,International Falls-Ranier,Minnesota,3604,US-Canada Border,2018/01/01,Trucks,1685
111,Port Huron,Michigan,3802,US-Canada Border,2018/01/01,Train Passengers,600
112,Carbury,North Dakota,3421,US-Canada Border,2018/01/01,Buses,3
113,Derby Line,Vermont,209,US-Canada Border,2018/01/01,Truck Containers Full,5956
114,Buffalo-Niagara Falls,New York,901,US-Canada Border,2018/01/01,Train Passengers,1391
115,Portal,North Dakota,3403,US-Canada Border,2018/01/01,Train Passengers,489
116,Noonan,North Dakota,3420,US-Canada Border,2018/01/01,Trucks,145
117,Buffalo-Niagara Falls,New York,901,US-Canada Border,2018/01/01,Bus Passengers,18815
118,Walhalla,North Dakota,3407,US-Canada Border,2018/01/01,Truck Containers Empty,309
119,Porthill,Idaho,3308,US-Canada Border,2018/01/01,Pedestrians,17
120,Alcan,Alaska,3104,US-Canada Border,2018/01/01,Truck Containers Full,62
121,Santa Teresa,New Mexico,2408,US-Mexico Border,2018/01/01,Buses,12
122,Laredo,Texas,2304,US-Mexico Border,2018/01/01,Rail Containers Empty,15578
123,Richford,Vermont,203,US-Canada Border,2018/01/01,Train Passengers,22
124,San Luis,Arizona,2608,US-Mexico Border,2018/01/01,Pedestrians,253879
125,Opheim,Montana,3317,US-Canada Border,2018/01/01,Personal Vehicle Passengers,379
126,Grand Portage,Minnesota,3613,US-Canada Border,2018/01/01,Personal Vehicle Passengers,22662
127,Lancaster,Minnesota,3430,US-Canada Border,2018/01/01,Truck Containers Full,43
128,El Paso,Texas,2402,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,1832053
129,Norton,Vermont,211,US-Canada Border,2018/01/01,Train Passengers,30
130,Presidio,Texas,2403,US-Mexico Border,2018/01/01,Personal Vehicles,59318
131,Bridgewater,Maine,127,US-Canada Border,2018/01/01,Personal Vehicles,3249
132,Hidalgo,Texas,2305,US-Mexico Border,2018/01/01,Pedestrians,166472
133,Alexandria Bay,New York,708,US-Canada Border,2018/01/01,Truck Containers Empty,1880
134,Santa Teresa,New Mexico,2408,US-Mexico Border,2018/01/01,Pedestrians,9726
135,Oroville,Washington,3019,US-Canada Border,2018/01/01,Buses,11
136,Hansboro,North Dakota,3415,US-Canada Border,2018/01/01,Personal Vehicles,443
137,Van Buren,Maine,108,US-Canada Border,2018/01/01,Truck Containers Full,707
138,Detroit,Michigan,3801,US-Canada Border,2018/01/01,Personal Vehicle Passengers,501341
139,Laredo,Texas,2304,US-Mexico Border,2018/01/01,Trains,345
140,Metaline Falls,Washington,3025,US-Canada Border,2018/01/01,Personal Vehicle Passengers,4522
141,Fort Kent,Maine,110,US-Canada Border,2018/01/01,Personal Vehicles,8263
142,Sweetgrass,Montana,3310,US-Canada Border,2018/01/01,Pedestrians,220
143,Metaline Falls,Washington,3025,US-Canada Border,2018/01/01,Trucks,624
144,Roseau,Minnesota,3426,US-Canada Border,2018/01/01,Truck Containers Full,175
145,Metaline Falls,Washington,3025,US-Canada Border,2018/01/01,Truck Containers Full,19
146,Lukeville,Arizona,2602,US-Mexico Border,2018/01/01,Truck Containers Empty,1
147,Fort Fairfield,Maine,107,US-Canada Border,2018/01/01,Personal Vehicle Passengers,10423
148,Tecate,California,2505,US-Mexico Border,2018/01/01,Trucks,4836
149,Del Bonita,Montana,3322,US-Canada Border,2018/01/01,Truck Containers Empty,36
150,Brownsville,Texas,2301,US-Mexico Border,2018/01/01,Bus Passengers,4076
151,Lancaster,Minnesota,3430,US-Canada Border,2018/01/01,Personal Vehicles,1265
152,Northgate,North Dakota,3406,US-Canada Border,2018/01/01,Train Passengers,54
153,Sherwood,North Dakota,3414,US-Canada Border,2018/01/01,Truck Containers Full,173
154,Champlain-Rouses Point,New York,712,US-Canada Border,2018/01/01,Truck Containers Full,22399
155,Naco,Arizona,2603,US-Mexico Border,2018/01/01,Truck Containers Full,120
156,Blaine,Washington,3004,US-Canada Border,2018/01/01,Rail Containers Full,8170
157,Naco,Arizona,2603,US-Mexico Border,2018/01/01,Personal Vehicles,23920
158,Port Angeles,Washington,3007,US-Canada Border,2018/01/01,Trucks,18
159,International Falls-Ranier,Minnesota,3604,US-Canada Border,2018/01/01,Personal Vehicles,24383
160,Champlain-Rouses Point,New York,712,US-Canada Border,2018/01/01,Truck Containers Empty,3426
161,Andrade,California,2502,US-Mexico Border,2018/01/01,Personal Vehicles,50741
162,Blaine,Washington,3004,US-Canada Border,2018/01/01,Rail Containers Empty,11705
163,Laredo,Texas,2304,US-Mexico Border,2018/01/01,Truck Containers Full,131263
164,Northgate,North Dakota,3406,US-Canada Border,2018/01/01,Pedestrians,15
165,Pembina,North Dakota,3401,US-Canada Border,2018/01/01,Truck Containers Empty,2464
166,Madawaska,Maine,109,US-Canada Border,2018/01/01,Personal Vehicles,27626
167,Antler,North Dakota,3413,US-Canada Border,2018/01/01,Trucks,240
168,Pembina,North Dakota,3401,US-Canada Border,2018/01/01,Train Passengers,172
169,Pembina,North Dakota,3401,US-Canada Border,2018/01/01,Rail Containers Empty,2090
170,Sweetgrass,Montana,3310,US-Canada Border,2018/01/01,Personal Vehicles,14596
171,Frontier,Washington,3020,US-Canada Border,2018/01/01,Buses,29
172,Opheim,Montana,3317,US-Canada Border,2018/01/01,Truck Containers Full,20
173,Eastport,Maine,103,US-Canada Border,2018/01/01,Personal Vehicle Passengers,12021
174,Nogales,Arizona,2604,US-Mexico Border,2018/01/01,Bus Passengers,18711
175,Massena,New York,704,US-Canada Border,2018/01/01,Truck Containers Full,1488
176,Calais,Maine,115,US-Canada Border,2018/01/01,Bus Passengers,88
177,Hansboro,North Dakota,3415,US-Canada Border,2018/01/01,Trucks,6
178,Tornillo-Fabens,Texas,2404,US-Mexico Border,2018/01/01,Pedestrians,3549
179,Norton,Vermont,211,US-Canada Border,2018/01/01,Rail Containers Full,725
180,Richford,Vermont,203,US-Canada Border,2018/01/01,Truck Containers Empty,425
181,Van Buren,Maine,108,US-Canada Border,2018/01/01,Rail Containers Empty,164
182,San Luis,Arizona,2608,US-Mexico Border,2018/01/01,Truck Containers Empty,772
183,Hidalgo,Texas,2305,US-Mexico Border,2018/01/01,Bus Passengers,21177
184,Scobey,Montana,3309,US-Canada Border,2018/01/01,Personal Vehicle Passengers,661
185,Nighthawk,Washington,3011,US-Canada Border,2018/01/01,Personal Vehicles,164
186,Douglas,Arizona,2601,US-Mexico Border,2018/01/01,Bus Passengers,2461
187,Nogales,Arizona,2604,US-Mexico Border,2018/01/01,Pedestrians,282100
188,Jackman,Maine,104,US-Canada Border,2018/01/01,Pedestrians,4
189,Frontier,Washington,3020,US-Canada Border,2018/01/01,Truck Containers Full,777
190,Raymond,Montana,3301,US-Canada Border,2018/01/01,Personal Vehicles,1655
191,International Falls-Ranier,Minnesota,3604,US-Canada Border,2018/01/01,Rail Containers Empty,13614
192,Point Roberts,Washington,3017,US-Canada Border,2018/01/01,Buses,44
193,Blaine,Washington,3004,US-Canada Border,2018/01/01,Truck Containers Empty,8382
194,Sault Sainte Marie,Michigan,3803,US-Canada Border,2018/01/01,Rail Containers Empty,1659
195,Eastport,Idaho,3302,US-Canada Border,2018/01/01,Buses,7
196,Derby Line,Vermont,209,US-Canada Border,2018/01/01,Personal Vehicle Passengers,47928
197,Naco,Arizona,2603,US-Mexico Border,2018/01/01,Truck Containers Empty,142
198,Metaline Falls,Washington,3025,US-Canada Border,2018/01/01,Buses,15
199,Skagway,Alaska,3103,US-Canada Border,2018/01/01,Personal Vehicles,463
200,Santa Teresa,New Mexico,2408,US-Mexico Border,2018/01/01,Trucks,9782
201,Santa Teresa,New Mexico,2408,US-Mexico Border,2018/01/01,Truck Containers Full,5905
202,Danville,Washington,3012,US-Canada Border,2018/01/01,Personal Vehicle Passengers,3863
203,Grand Portage,Minnesota,3613,US-Canada Border,2018/01/01,Buses,60
204,Pembina,North Dakota,3401,US-Canada Border,2018/01/01,Bus Passengers,1287
205,Roosville,Montana,3318,US-Canada Border,2018/01/01,Truck Containers Empty,419
206,Wildhorse,Montana,3323,US-Canada Border,2018/01/01,Truck Containers Full,181
207,Rio Grande City,Texas,2307,US-Mexico Border,2018/01/01,Truck Containers Empty,738
208,Pembina,North Dakota,3401,US-Canada Border,2018/01/01,Trucks,18604
209,Blaine,Washington,3004,US-Canada Border,2018/01/01,Personal Vehicle Passengers,546097
210,Ogdensburg,New York,701,US-Canada Border,2018/01/01,Personal Vehicles,18920
211,Columbus,New Mexico,2406,US-Mexico Border,2018/01/01,Truck Containers Full,288
212,El Paso,Texas,2402,US-Mexico Border,2018/01/01,Truck Containers Empty,28576
213,Vanceboro,Maine,105,US-Canada Border,2018/01/01,Personal Vehicle Passengers,2142
214,Calais,Maine,115,US-Canada Border,2018/01/01,Personal Vehicle Passengers,66437
215,Lukeville,Arizona,2602,US-Mexico Border,2018/01/01,Buses,40
216,Port Angeles,Washington,3007,US-Canada Border,2018/01/01,Truck Containers Empty,1
217,Detroit,Michigan,3801,US-Canada Border,2018/01/01,Buses,920
218,Derby Line,Vermont,209,US-Canada Border,2018/01/01,Trucks,6846
219,Sault Sainte Marie,Michigan,3803,US-Canada Border,2018/01/01,Truck Containers Full,3083
220,Turner,Montana,3306,US-Canada Border,2018/01/01,Truck Containers Empty,17
221,Houlton,Maine,106,US-Canada Border,2018/01/01,Buses,14
222,Hansboro,North Dakota,3415,US-Canada Border,2018/01/01,Personal Vehicle Passengers,880
223,Hannah,North Dakota,3408,US-Canada Border,2018/01/01,Truck Containers Full,5
224,Sumas,Washington,3009,US-Canada Border,2018/01/01,Trains,15
225,Champlain-Rouses Point,New York,712,US-Canada Border,2018/01/01,Buses,457
226,Baudette,Minnesota,3424,US-Canada Border,2018/01/01,Pedestrians,9
227,Champlain-Rouses Point,New York,712,US-Canada Border,2018/01/01,Rail Containers Empty,491
228,Warroad,Minnesota,3423,US-Canada Border,2018/01/01,Truck Containers Empty,501
229,Nogales,Arizona,2604,US-Mexico Border,2018/01/01,Truck Containers Full,30213
230,Northgate,North Dakota,3406,US-Canada Border,2018/01/01,Personal Vehicle Passengers,1589
231,Houlton,Maine,106,US-Canada Border,2018/01/01,Truck Containers Full,6005
232,El Paso,Texas,2402,US-Mexico Border,2018/01/01,Truck Containers Full,36780
233,Brownsville,Texas,2301,US-Mexico Border,2018/01/01,Rail Containers Empty,7398
234,Beecher Falls,Vermont,206,US-Canada Border,2018/01/01,Truck Containers Empty,899
235,Presidio,Texas,2403,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,128002
236,Del Rio,Texas,2302,US-Mexico Border,2018/01/01,Truck Containers Full,4750
237,Frontier,Washington,3020,US-Canada Border,2018/01/01,Bus Passengers,385
238,Otay Mesa,California,2506,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,1186327
239,Northgate,North Dakota,3406,US-Canada Border,2018/01/01,Truck Containers Empty,605
240,Nogales,Arizona,2604,US-Mexico Border,2018/01/01,Personal Vehicles,317607
241,Sarles,North Dakota,3409,US-Canada Border,2018/01/01,Personal Vehicle Passengers,450
242,Richford,Vermont,203,US-Canada Border,2018/01/01,Trains,11
243,Progreso,Texas,2309,US-Mexico Border,2018/01/01,Truck Containers Full,2330
244,Roma,Texas,2310,US-Mexico Border,2018/01/01,Bus Passengers,610
245,Sarles,North Dakota,3409,US-Canada Border,2018/01/01,Trucks,115
246,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2018/01/01,Rail Containers Full,1591
247,Sweetgrass,Montana,3310,US-Canada Border,2018/01/01,Train Passengers,138
248,Opheim,Montana,3317,US-Canada Border,2018/01/01,Personal Vehicles,212
249,Carbury,North Dakota,3421,US-Canada Border,2018/01/01,Personal Vehicles,1032
250,Jackman,Maine,104,US-Canada Border,2018/01/01,Buses,2
251,Calais,Maine,115,US-Canada Border,2018/01/01,Personal Vehicles,42293
252,Houlton,Maine,106,US-Canada Border,2018/01/01,Pedestrians,17
253,Calais,Maine,115,US-Canada Border,2018/01/01,Truck Containers Empty,1546
254,Sherwood,North Dakota,3414,US-Canada Border,2018/01/01,Personal Vehicle Passengers,2021
255,Trout River,New York,715,US-Canada Border,2018/01/01,Trucks,1214
256,Derby Line,Vermont,209,US-Canada Border,2018/01/01,Pedestrians,20
257,Northgate,North Dakota,3406,US-Canada Border,2018/01/01,Truck Containers Full,286
258,Hansboro,North Dakota,3415,US-Canada Border,2018/01/01,Truck Containers Empty,3
259,Blaine,Washington,3004,US-Canada Border,2018/01/01,Trucks,30441
260,Dalton Cache,Alaska,3106,US-Canada Border,2018/01/01,Personal Vehicles,440
261,Calexico East,California,2507,US-Mexico Border,2018/01/01,Trucks,32763
262,Baudette,Minnesota,3424,US-Canada Border,2018/01/01,Buses,7
263,Naco,Arizona,2603,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,43277
264,Lukeville,Arizona,2602,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,62667
265,Sherwood,North Dakota,3414,US-Canada Border,2018/01/01,Truck Containers Empty,244
266,Lukeville,Arizona,2602,US-Mexico Border,2018/01/01,Trucks,18
267,Noonan,North Dakota,3420,US-Canada Border,2018/01/01,Personal Vehicles,1871
268,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2018/01/01,Personal Vehicles,24022
269,Madawaska,Maine,109,US-Canada Border,2018/01/01,Pedestrians,43
270,Massena,New York,704,US-Canada Border,2018/01/01,Personal Vehicle Passengers,105579
271,Douglas,Arizona,2601,US-Mexico Border,2018/01/01,Truck Containers Empty,563
272,Del Bonita,Montana,3322,US-Canada Border,2018/01/01,Trucks,36
273,St. John,North Dakota,3405,US-Canada Border,2018/01/01,Trucks,26
274,Columbus,New Mexico,2406,US-Mexico Border,2018/01/01,Buses,120
275,Madawaska,Maine,109,US-Canada Border,2018/01/01,Trucks,196
276,Point Roberts,Washington,3017,US-Canada Border,2018/01/01,Truck Containers Full,133
277,Laredo,Texas,2304,US-Mexico Border,2018/01/01,Personal Vehicles,420334
278,Otay Mesa,California,2506,US-Mexico Border,2018/01/01,Pedestrians,257755
279,Boundary,Washington,3015,US-Canada Border,2018/01/01,Personal Vehicle Passengers,3325
280,Buffalo-Niagara Falls,New York,901,US-Canada Border,2018/01/01,Buses,828
281,Andrade,California,2502,US-Mexico Border,2018/01/01,Pedestrians,117536
282,Vanceboro,Maine,105,US-Canada Border,2018/01/01,Truck Containers Full,2
283,Progreso,Texas,2309,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,222113
284,Pinecreek,Minnesota,3425,US-Canada Border,2018/01/01,Personal Vehicles,227
285,Sweetgrass,Montana,3310,US-Canada Border,2018/01/01,Truck Containers Full,9274
286,Hannah,North Dakota,3408,US-Canada Border,2018/01/01,Personal Vehicle Passengers,98
287,Calais,Maine,115,US-Canada Border,2018/01/01,Buses,4
288,Rio Grande City,Texas,2307,US-Mexico Border,2018/01/01,Trucks,2953
289,Boundary,Washington,3015,US-Canada Border,2018/01/01,Train Passengers,48
290,Laurier,Washington,3016,US-Canada Border,2018/01/01,Personal Vehicles,2438
291,Eagle Pass,Texas,2303,US-Mexico Border,2018/01/01,Truck Containers Full,12423
292,Brownsville,Texas,2301,US-Mexico Border,2018/01/01,Truck Containers Empty,8115
293,Walhalla,North Dakota,3407,US-Canada Border,2018/01/01,Trucks,470
294,Frontier,Washington,3020,US-Canada Border,2018/01/01,Personal Vehicle Passengers,7495
295,Brownsville,Texas,2301,US-Mexico Border,2018/01/01,Personal Vehicle Passengers,821237
296,Nogales,Arizona,2604,US-Mexico Border,2018/01/01,Trains,61
297,Detroit,Michigan,3801,US-Canada Border,2018/01/01,Truck Containers Full,91135
298,Laredo,Texas,2304,US-Mexico Border,2018/01/01,Bus Passengers,67607
299,Fort Kent,Maine,110,US-Canada Border,2018/01/01,Truck Containers Empty,1147
300,Trout River,New York,715,US-Canada Border,2018/01/01,Personal Vehicle Passengers,13624
301,Detroit,Michigan,3801,US-Canada Border,2018/01/01,Rail Containers Full,7207
302,Dunseith,North Dakota,3422,US-Canada Border,2018/01/01,Truck Containers Full,2016
303,Jackman,Maine,104,US-Canada Border,2018/01/01,Personal Vehicle Passengers,10450
304,Warroad,Minnesota,3423,US-Canada Border,2018/01/01,Truck Containers Full,234
305,Sumas,Washington,3009,US-Canada Border,2018/01/01,Personal Vehicle Passengers,107247
306,Eagle Pass,Texas,2303,US-Mexico Border,2018/01/01,Pedestrians,75176
307,Calexico East,California,2507,US-Mexico Border,2018/01/01,Buses,216
308,Oroville,Washington,3019,US-Canada Border,2018/01/01,Bus Passengers,314
309,Eastport,Idaho,3302,US-Canada Border,2018/01/01,Personal Vehicle Passengers,6817
310,Trout River,New York,715,US-Canada Border,2018/01/01,Rail Containers Full,1830
311,Alcan,Alaska,3104,US-Canada Border,2018/01/01,Truck Containers Empty,401
312,Alexandria Bay,New York,708,US-Canada Border,2018/01/01,Trucks,16029
313,Scobey,Montana,3309,US-Canada Border,2018/01/01,Truck Containers Empty,11
314,Antler,North Dakota,3413,US-Canada Border,2018/01/01,Truck Containers Empty,221
315,Oroville,Washington,3019,US-Canada Border,2018/01/01,Personal Vehicle Passengers,19150
316,Point Roberts,Washington,3017,US-Canada Border,2018/01/01,Bus Passengers,924
317,Whitlash,Montana,3321,US-Canada Border,2018/01/01,Trucks,9
318,Douglas,Arizona,2601,US-Mexico Border,2018/01/01,Trucks,2373
319,Champlain-Rouses Point,New York,712,US-Canada Border,2018/01/01,Rail Containers Full,3550
320,Nogales,Arizona,2604,US-Mexico Border,2018/01/01,Rail Containers Full,2447
321,Westhope,North Dakota,3419,US-Canada Border,2018/01/01,Truck Containers Full,485
322,Warroad,Minnesota,3423,US-Canada Border,2018/01/01,Personal Vehicles,7637
323,Dunseith,North Dakota,3422,US-Canada Border,2018/01/01,Personal Vehicle Passengers,5923
324,Roosville,Montana,3318,US-Canada Border,2018/01/01,Personal Vehicle Passengers,14417
325,Anacortes,Washington,3010,US-Canada Border,2018/01/01,Personal Vehicles,498
326,Walhalla,North Dakota,3407,US-Canada Border,2018/01/01,Truck Containers Full,176
327,Laurier,Washington,3016,US-Canada Border,2018/01/01,Truck Containers Full,164
328,Oroville,Washington,3019,US-Canada Border,2018/01/01,Truck Containers Empty,740
329,Noonan,North Dakota,3420,US-Canada Border,2018/01/01,Truck Containers Full,20
330,Point Roberts,Washington,3017,US-Canada Border,2018/01/01,Trucks,1074
331,El Paso,Texas,2402,US-Mexico Border,2018/01/01,Train Passengers,520
332,Raymond,Montana,3301,US-Canada Border,2018/01/01,Truck Containers Full,1959
333,Roosville,Montana,3318,US-Canada Border,2018/01/01,Buses,4
334,Sault Sainte Marie,Michigan,3803,US-Canada Border,2018/01/01,Trains,30
335,Houlton,Maine,106,US-Canada Border,2018/01/01,Truck Containers Empty,1655
336,Ferry,Washington,3013,US-Canada Border,2018/01/01,Trucks,5
